"age","chronicCondition","state","prevalence","gender","year"
"All","Arthritis","Montana ",16.71,"Male","2007"
"All","Arthritis","Nebraska ",20.38,"Male","2007"
"All","Arthritis","Nevada ",15.76,"Male","2007"
"All","Arthritis","New Hampshire ",16.69,"Male","2007"
"All","Arthritis","New Jersey ",21.15,"Male","2007"
"All","Arthritis","New Mexico ",18.6,"Male","2007"
"All","Arthritis","New York ",19.71,"Male","2007"
"All","Arthritis","North Carolina ",16.55,"Male","2007"
"All","Arthritis","North Dakota ",19.11,"Male","2007"
"All","Arthritis","Ohio ",21.58,"Male","2007"
"All","Arthritis","Oklahoma ",21.05,"Male","2007"
"All","Arthritis","Oregon ",14.92,"Male","2007"
"All","Arthritis","Pennsylvania ",21.99,"Male","2007"
"All","Arthritis","Puerto Rico ",19.14,"Male","2007"
"All","Arthritis","Rhode Island ",16.67,"Male","2007"
"All","Arthritis","South Carolina ",18.2,"Male","2007"
"All","Arthritis","South Dakota ",17.75,"Male","2007"
"All","Arthritis","Tennessee ",20.11,"Male","2007"
"All","Arthritis","Texas ",19.42,"Male","2007"
"All","Arthritis","Utah ",18.16,"Male","2007"
"All","Arthritis","Vermont ",16.75,"Male","2007"
"All","Arthritis","Virgin Islands ",6.57,"Male","2007"
"All","Arthritis","Virginia ",18.09,"Male","2007"
"All","Arthritis","Washington ",15.28,"Male","2007"
"All","Arthritis","West Virginia ",19.82,"Male","2007"
"All","Arthritis","Wisconsin ",18.3,"Male","2007"
"All","Arthritis","Wyoming ",15.94,"Male","2007"
"All","Arthritis","Unknown ",5.6,"Male","2007"
"All","Asthma","National ",2.93,"Male","2007"
"All","Asthma","Alabama ",2.61,"Male","2007"
"All","Asthma","Alaska ",2.29,"Male","2007"
"All","Asthma","Arizona ",3.1,"Male","2007"
"All","Asthma","Arkansas ",2.2,"Male","2007"
"All","Asthma","California ",3.54,"Male","2007"
"All","Asthma","Colorado ",2.72,"Male","2007"
"All","Asthma","Connecticut ",3.65,"Male","2007"
"All","Asthma","Delaware ",3.16,"Male","2007"
"All","Asthma","District of Columbia ",2.94,"Male","2007"
"All","Asthma","Florida ",2.95,"Male","2007"
"All","Asthma","Georgia ",2.42,"Male","2007"
"All","Asthma","Hawaii ",3.83,"Male","2007"
"All","Asthma","Idaho ",2.6,"Male","2007"
"All","Asthma","Illinois ",3.05,"Male","2007"
"All","Asthma","Indiana ",2.68,"Male","2007"
"All","Asthma","Iowa ",2.23,"Male","2007"
"All","Asthma","Kansas ",2.28,"Male","2007"
"All","Asthma","Kentucky ",2.79,"Male","2007"
"All","Asthma","Louisiana ",2.49,"Male","2007"
"All","Asthma","Maine ",2.84,"Male","2007"
"All","Asthma","Maryland ",3,"Male","2007"
"All","Asthma","Massachusetts ",3.65,"Male","2007"
"All","Asthma","Michigan ",3.33,"Male","2007"
"All","Asthma","Minnesota ",2.26,"Male","2007"
"All","Asthma","Mississippi ",2.09,"Male","2007"
"All","Asthma","Missouri ",2.77,"Male","2007"
"All","Asthma","Montana ",2.1,"Male","2007"
"All","Asthma","Nebraska ",2.41,"Male","2007"
"All","Asthma","Nevada ",2.45,"Male","2007"
"All","Asthma","New Hampshire ",2.55,"Male","2007"
"All","Asthma","New Jersey ",3.55,"Male","2007"
"All","Asthma","New Mexico ",2.79,"Male","2007"
"All","Asthma","New York ",3.62,"Male","2007"
"All","Asthma","North Carolina ",2.56,"Male","2007"
"All","Asthma","North Dakota ",2.66,"Male","2007"
"All","Asthma","Ohio ",3.05,"Male","2007"
"All","Asthma","Oklahoma ",2.57,"Male","2007"
"All","Asthma","Oregon ",2.61,"Male","2007"
"All","Asthma","Pennsylvania ",2.9,"Male","2007"
"All","Asthma","Puerto Rico ",5.52,"Male","2007"
"All","Asthma","Rhode Island ",3.94,"Male","2007"
"All","Asthma","South Carolina ",2.5,"Male","2007"
"All","Asthma","South Dakota ",2.18,"Male","2007"
"All","Asthma","Tennessee ",2.8,"Male","2007"
"All","Asthma","Texas ",2.72,"Male","2007"
"All","Asthma","Utah ",2.52,"Male","2007"
"All","Asthma","Vermont ",2.5,"Male","2007"
"All","Asthma","Virgin Islands ",0.8,"Male","2007"
"All","Asthma","Virginia ",2.76,"Male","2007"
"All","Asthma","Washington ",2.47,"Male","2007"
"All","Asthma","West Virginia ",2.77,"Male","2007"
"All","Asthma","Wisconsin ",2.88,"Male","2007"
"All","Asthma","Wyoming ",2.12,"Male","2007"
"All","Asthma","Unknown ",0.95,"Male","2007"
"All","Atrial Fibrillation","National ",8.1,"Male","2007"
"All","Atrial Fibrillation","Alabama ",7.3,"Male","2007"
"All","Atrial Fibrillation","Alaska ",6.67,"Male","2007"
"All","Atrial Fibrillation","Arizona ",7.77,"Male","2007"
"All","Atrial Fibrillation","Arkansas ",6.62,"Male","2007"
"All","Atrial Fibrillation","California ",7.24,"Male","2007"
"All","Atrial Fibrillation","Colorado ",6.8,"Male","2007"
"All","Atrial Fibrillation","Connecticut ",11.34,"Male","2007"
"All","Atrial Fibrillation","Delaware ",9.56,"Male","2007"
"All","Atrial Fibrillation","District of Columbia ",4.92,"Male","2007"
"All","Atrial Fibrillation","Florida ",9.93,"Male","2007"
"All","Atrial Fibrillation","Georgia ",7.01,"Male","2007"
"All","Atrial Fibrillation","Hawaii ",6.15,"Male","2007"
"All","Atrial Fibrillation","Idaho ",7.15,"Male","2007"
"All","Atrial Fibrillation","Illinois ",8.49,"Male","2007"
"All","Atrial Fibrillation","Indiana ",7.55,"Male","2007"
"All","Atrial Fibrillation","Iowa ",8.53,"Male","2007"
"All","Atrial Fibrillation","Kansas ",7.73,"Male","2007"
"All","Atrial Fibrillation","Kentucky ",6.62,"Male","2007"
"All","Atrial Fibrillation","Louisiana ",7.03,"Male","2007"
"All","Atrial Fibrillation","Maine ",9,"Male","2007"
"All","Atrial Fibrillation","Maryland ",8.51,"Male","2007"
"All","Atrial Fibrillation","Massachusetts ",10.25,"Male","2007"
"All","Atrial Fibrillation","Michigan ",8.04,"Male","2007"
"All","Atrial Fibrillation","Minnesota ",8.11,"Male","2007"
"All","Atrial Fibrillation","Mississippi ",5.75,"Male","2007"
"All","Atrial Fibrillation","Missouri ",7.63,"Male","2007"
"All","Atrial Fibrillation","Montana ",7.19,"Male","2007"
"All","Atrial Fibrillation","Nebraska ",8.84,"Male","2007"
"All","Atrial Fibrillation","Nevada ",6.61,"Male","2007"
"All","Atrial Fibrillation","New Hampshire ",9.94,"Male","2007"
"All","Atrial Fibrillation","New Jersey ",10.7,"Male","2007"
"All","Atrial Fibrillation","New Mexico ",4.74,"Male","2007"
"All","Atrial Fibrillation","New York ",9.22,"Male","2007"
"All","Atrial Fibrillation","North Carolina ",7.47,"Male","2007"
"All","Atrial Fibrillation","North Dakota ",7.25,"Male","2007"
"All","Atrial Fibrillation","Ohio ",8.76,"Male","2007"
"All","Atrial Fibrillation","Oklahoma ",6.35,"Male","2007"
"All","Atrial Fibrillation","Oregon ",7.86,"Male","2007"
"All","Atrial Fibrillation","Pennsylvania ",10.22,"Male","2007"
"All","Atrial Fibrillation","Puerto Rico ",2.21,"Male","2007"
"All","Atrial Fibrillation","Rhode Island ",9.18,"Male","2007"
"All","Atrial Fibrillation","South Carolina ",7.54,"Male","2007"
"All","Atrial Fibrillation","South Dakota ",6.8,"Male","2007"
"All","Atrial Fibrillation","Tennessee ",7.01,"Male","2007"
"All","Atrial Fibrillation","Texas ",6.99,"Male","2007"
"All","Atrial Fibrillation","Utah ",7.22,"Male","2007"
"All","Atrial Fibrillation","Vermont ",8.65,"Male","2007"
"All","Atrial Fibrillation","Virgin Islands ",2.68,"Male","2007"
"All","Atrial Fibrillation","Virginia ",8.15,"Male","2007"
"All","Atrial Fibrillation","Washington ",8.4,"Male","2007"
"All","Atrial Fibrillation","West Virginia ",6.05,"Male","2007"
"All","Atrial Fibrillation","Wisconsin ",8.63,"Male","2007"
"All","Atrial Fibrillation","Wyoming ",5.7,"Male","2007"
"All","Atrial Fibrillation","Unknown ",2.45,"Male","2007"
"All","Autism Spectrum Disorders","National ",0.12,"Male","2007"
"All","Autism Spectrum Disorders","Alabama ",0.05,"Male","2007"
"All","Autism Spectrum Disorders","Alaska ",NA,"Male","2007"
"All","Autism Spectrum Disorders","Arizona ",0.05,"Male","2007"
"All","Autism Spectrum Disorders","Arkansas ",0.06,"Male","2007"
"All","Autism Spectrum Disorders","California ",0.1,"Male","2007"
"All","Autism Spectrum Disorders","Colorado ",0.08,"Male","2007"
"All","Autism Spectrum Disorders","Connecticut ",0.23,"Male","2007"
"All","Autism Spectrum Disorders","Delaware ",0.1,"Male","2007"
"All","Autism Spectrum Disorders","District of Columbia ",0.08,"Male","2007"
"All","Autism Spectrum Disorders","Florida ",0.06,"Male","2007"
"All","Autism Spectrum Disorders","Georgia ",0.07,"Male","2007"
"All","Autism Spectrum Disorders","Hawaii ",0.07,"Male","2007"
"All","Autism Spectrum Disorders","Idaho ",0.12,"Male","2007"
"All","Autism Spectrum Disorders","Illinois ",0.13,"Male","2007"
"All","Autism Spectrum Disorders","Indiana ",0.15,"Male","2007"
"All","Autism Spectrum Disorders","Iowa ",0.16,"Male","2007"
"All","Autism Spectrum Disorders","Kansas ",0.17,"Male","2007"
"All","Autism Spectrum Disorders","Kentucky ",0.08,"Male","2007"
"All","Autism Spectrum Disorders","Louisiana ",0.07,"Male","2007"
"All","Autism Spectrum Disorders","Maine ",0.16,"Male","2007"
"All","Autism Spectrum Disorders","Maryland ",0.11,"Male","2007"
"All","Autism Spectrum Disorders","Massachusetts ",0.25,"Male","2007"
"All","Autism Spectrum Disorders","Michigan ",0.13,"Male","2007"
"All","Autism Spectrum Disorders","Minnesota ",0.27,"Male","2007"
"All","Autism Spectrum Disorders","Mississippi ",0.04,"Male","2007"
"All","Autism Spectrum Disorders","Missouri ",0.15,"Male","2007"
"All","Autism Spectrum Disorders","Montana ",0.12,"Male","2007"
"All","Autism Spectrum Disorders","Nebraska ",0.11,"Male","2007"
"All","Autism Spectrum Disorders","Nevada ",0.05,"Male","2007"
"All","Autism Spectrum Disorders","New Hampshire ",0.12,"Male","2007"
"All","Autism Spectrum Disorders","New Jersey ",0.2,"Male","2007"
"All","Autism Spectrum Disorders","New Mexico ",0.11,"Male","2007"
"All","Autism Spectrum Disorders","New York ",0.27,"Male","2007"
"All","Autism Spectrum Disorders","North Carolina ",0.11,"Male","2007"
"All","Autism Spectrum Disorders","North Dakota ",0.12,"Male","2007"
"All","Autism Spectrum Disorders","Ohio ",0.13,"Male","2007"
"All","Autism Spectrum Disorders","Oklahoma ",0.07,"Male","2007"
"All","Autism Spectrum Disorders","Oregon ",0.11,"Male","2007"
"All","Autism Spectrum Disorders","Pennsylvania ",0.12,"Male","2007"
"All","Autism Spectrum Disorders","Puerto Rico ",NA,"Male","2007"
"All","Autism Spectrum Disorders","Rhode Island ",0.17,"Male","2007"
"All","Autism Spectrum Disorders","South Carolina ",0.09,"Male","2007"
"All","Autism Spectrum Disorders","South Dakota ",0.15,"Male","2007"
"All","Autism Spectrum Disorders","Tennessee ",0.07,"Male","2007"
"All","Autism Spectrum Disorders","Texas ",0.08,"Male","2007"
"All","Autism Spectrum Disorders","Utah ",0.16,"Male","2007"
"All","Autism Spectrum Disorders","Vermont ",0.15,"Male","2007"
"All","Autism Spectrum Disorders","Virgin Islands ",NA,"Male","2007"
"All","Autism Spectrum Disorders","Virginia ",0.1,"Male","2007"
"All","Autism Spectrum Disorders","Washington ",0.11,"Male","2007"
"All","Autism Spectrum Disorders","West Virginia ",0.12,"Male","2007"
"All","Autism Spectrum Disorders","Wisconsin ",0.22,"Male","2007"
"All","Autism Spectrum Disorders","Wyoming ",0.07,"Male","2007"
"All","Autism Spectrum Disorders","Unknown ",NA,"Male","2007"
"All","COPD","National ",11.77,"Male","2007"
"All","COPD","Alabama ",13.79,"Male","2007"
"All","COPD","Alaska ",8.82,"Male","2007"
"All","COPD","Arizona ",9.82,"Male","2007"
"All","COPD","Arkansas ",11.84,"Male","2007"
"All","COPD","California ",9.99,"Male","2007"
"All","COPD","Colorado ",10.36,"Male","2007"
"All","COPD","Connecticut ",10.89,"Male","2007"
"All","COPD","Delaware ",11.31,"Male","2007"
"All","COPD","District of Columbia ",6.58,"Male","2007"
"All","COPD","Florida ",13.58,"Male","2007"
"All","COPD","Georgia ",12.31,"Male","2007"
"All","COPD","Hawaii ",7.45,"Male","2007"
"All","COPD","Idaho ",9.04,"Male","2007"
"All","COPD","Illinois ",11.54,"Male","2007"
"All","COPD","Indiana ",13.69,"Male","2007"
"All","COPD","Iowa ",11.99,"Male","2007"
"All","COPD","Kansas ",11.95,"Male","2007"
"All","COPD","Kentucky ",16.23,"Male","2007"
"All","COPD","Louisiana ",12.13,"Male","2007"
"All","COPD","Maine ",12.68,"Male","2007"
"All","COPD","Maryland ",10.56,"Male","2007"
"All","COPD","Massachusetts ",11.06,"Male","2007"
"All","COPD","Michigan ",13.74,"Male","2007"
"All","COPD","Minnesota ",7.45,"Male","2007"
"All","COPD","Mississippi ",12.03,"Male","2007"
"All","COPD","Missouri ",13.65,"Male","2007"
"All","COPD","Montana ",10.33,"Male","2007"
"All","COPD","Nebraska ",11.4,"Male","2007"
"All","COPD","Nevada ",11.25,"Male","2007"
"All","COPD","New Hampshire ",10.87,"Male","2007"
"All","COPD","New Jersey ",12.04,"Male","2007"
"All","COPD","New Mexico ",9.9,"Male","2007"
"All","COPD","New York ",11.19,"Male","2007"
"All","COPD","North Carolina ",11.53,"Male","2007"
"All","COPD","North Dakota ",11.48,"Male","2007"
"All","COPD","Ohio ",13.48,"Male","2007"
"All","COPD","Oklahoma ",13.48,"Male","2007"
"All","COPD","Oregon ",8.48,"Male","2007"
"All","COPD","Pennsylvania ",12.64,"Male","2007"
"All","COPD","Puerto Rico ",6.16,"Male","2007"
"All","COPD","Rhode Island ",11.29,"Male","2007"
"All","COPD","South Carolina ",11.46,"Male","2007"
"All","COPD","South Dakota ",10.82,"Male","2007"
"All","COPD","Tennessee ",14.82,"Male","2007"
"All","COPD","Texas ",11.59,"Male","2007"
"All","COPD","Utah ",6.59,"Male","2007"
"All","COPD","Vermont ",10.37,"Male","2007"
"All","COPD","Virgin Islands ",1.51,"Male","2007"
"All","COPD","Virginia ",10.89,"Male","2007"
"All","COPD","Washington ",8.81,"Male","2007"
"All","COPD","West Virginia ",15.86,"Male","2007"
"All","COPD","Wisconsin ",9.45,"Male","2007"
"All","COPD","Wyoming ",10.85,"Male","2007"
"All","COPD","Unknown ",3.31,"Male","2007"
"All","Cancer","National ",9.36,"Male","2007"
"All","Cancer","Alabama ",8.49,"Male","2007"
"All","Cancer","Alaska ",7.19,"Male","2007"
"All","Cancer","Arizona ",9.34,"Male","2007"
"All","Cancer","Arkansas ",8.19,"Male","2007"
"All","Cancer","California ",8.32,"Male","2007"
"All","Cancer","Colorado ",8.39,"Male","2007"
"All","Cancer","Connecticut ",10.5,"Male","2007"
"All","Cancer","Delaware ",11,"Male","2007"
"All","Cancer","District of Columbia ",10.2,"Male","2007"
"All","Cancer","Florida ",11.52,"Male","2007"
"All","Cancer","Georgia ",8.83,"Male","2007"
"All","Cancer","Hawaii ",8.01,"Male","2007"
"All","Cancer","Idaho ",8.3,"Male","2007"
"All","Cancer","Illinois ",9.83,"Male","2007"
"All","Cancer","Indiana ",8.97,"Male","2007"
"All","Cancer","Iowa ",8.81,"Male","2007"
"All","Cancer","Kansas ",9.87,"Male","2007"
"All","Cancer","Kentucky ",7.75,"Male","2007"
"All","Cancer","Louisiana ",8.5,"Male","2007"
"All","Cancer","Maine ",8.89,"Male","2007"
"All","Cancer","Maryland ",10.56,"Male","2007"
"All","Cancer","Massachusetts ",10.46,"Male","2007"
"All","Cancer","Michigan ",10.02,"Male","2007"
"All","Cancer","Minnesota ",9.29,"Male","2007"
"All","Cancer","Mississippi ",8.25,"Male","2007"
"All","Cancer","Missouri ",8.93,"Male","2007"
"All","Cancer","Montana ",9.01,"Male","2007"
"All","Cancer","Nebraska ",9.97,"Male","2007"
"All","Cancer","Nevada ",8.12,"Male","2007"
"All","Cancer","New Hampshire ",9.22,"Male","2007"
"All","Cancer","New Jersey ",11.7,"Male","2007"
"All","Cancer","New Mexico ",7.07,"Male","2007"
"All","Cancer","New York ",10.24,"Male","2007"
"All","Cancer","North Carolina ",9.22,"Male","2007"
"All","Cancer","North Dakota ",10.73,"Male","2007"
"All","Cancer","Ohio ",9.73,"Male","2007"
"All","Cancer","Oklahoma ",8.08,"Male","2007"
"All","Cancer","Oregon ",8.17,"Male","2007"
"All","Cancer","Pennsylvania ",10.98,"Male","2007"
"All","Cancer","Puerto Rico ",10.37,"Male","2007"
"All","Cancer","Rhode Island ",10.28,"Male","2007"
"All","Cancer","South Carolina ",9.37,"Male","2007"
"All","Cancer","South Dakota ",9.66,"Male","2007"
"All","Cancer","Tennessee ",7.99,"Male","2007"
"All","Cancer","Texas ",8.36,"Male","2007"
"All","Cancer","Utah ",7.73,"Male","2007"
"All","Cancer","Vermont ",8.9,"Male","2007"
"All","Cancer","Virgin Islands ",8.9,"Male","2007"
"All","Cancer","Virginia ",9.2,"Male","2007"
"All","Cancer","Washington ",8.24,"Male","2007"
"All","Cancer","West Virginia ",6.87,"Male","2007"
"All","Cancer","Wisconsin ",9.21,"Male","2007"
"All","Cancer","Wyoming ",8.52,"Male","2007"
"All","Cancer","Unknown ",3.22,"Male","2007"
"All","Chronic Kidney Disease","National ",12.78,"Male","2007"
"All","Chronic Kidney Disease","Alabama ",12.22,"Male","2007"
"All","Chronic Kidney Disease","Alaska ",9.05,"Male","2007"
"All","Chronic Kidney Disease","Arizona ",11.81,"Male","2007"
"All","Chronic Kidney Disease","Arkansas ",9.39,"Male","2007"
"All","Chronic Kidney Disease","California ",12.4,"Male","2007"
"All","Chronic Kidney Disease","Colorado ",10.59,"Male","2007"
"All","Chronic Kidney Disease","Connecticut ",13.59,"Male","2007"
"All","Chronic Kidney Disease","Delaware ",14.11,"Male","2007"
"All","Chronic Kidney Disease","District of Columbia ",15.39,"Male","2007"
"All","Chronic Kidney Disease","Florida ",14.19,"Male","2007"
"All","Chronic Kidney Disease","Georgia ",14.08,"Male","2007"
"All","Chronic Kidney Disease","Hawaii ",13.33,"Male","2007"
"All","Chronic Kidney Disease","Idaho ",9.12,"Male","2007"
"All","Chronic Kidney Disease","Illinois ",12.94,"Male","2007"
"All","Chronic Kidney Disease","Indiana ",12.98,"Male","2007"
"All","Chronic Kidney Disease","Iowa ",11.31,"Male","2007"
"All","Chronic Kidney Disease","Kansas ",11.56,"Male","2007"
"All","Chronic Kidney Disease","Kentucky ",11.93,"Male","2007"
"All","Chronic Kidney Disease","Louisiana ",13.7,"Male","2007"
"All","Chronic Kidney Disease","Maine ",11.69,"Male","2007"
"All","Chronic Kidney Disease","Maryland ",14.83,"Male","2007"
"All","Chronic Kidney Disease","Massachusetts ",13.39,"Male","2007"
"All","Chronic Kidney Disease","Michigan ",13.69,"Male","2007"
"All","Chronic Kidney Disease","Minnesota ",10.91,"Male","2007"
"All","Chronic Kidney Disease","Mississippi ",11.37,"Male","2007"
"All","Chronic Kidney Disease","Missouri ",12.66,"Male","2007"
"All","Chronic Kidney Disease","Montana ",8.61,"Male","2007"
"All","Chronic Kidney Disease","Nebraska ",11,"Male","2007"
"All","Chronic Kidney Disease","Nevada ",11.63,"Male","2007"
"All","Chronic Kidney Disease","New Hampshire ",10.97,"Male","2007"
"All","Chronic Kidney Disease","New Jersey ",14.68,"Male","2007"
"All","Chronic Kidney Disease","New Mexico ",9.74,"Male","2007"
"All","Chronic Kidney Disease","New York ",13.55,"Male","2007"
"All","Chronic Kidney Disease","North Carolina ",13.42,"Male","2007"
"All","Chronic Kidney Disease","North Dakota ",12.52,"Male","2007"
"All","Chronic Kidney Disease","Ohio ",14,"Male","2007"
"All","Chronic Kidney Disease","Oklahoma ",10.33,"Male","2007"
"All","Chronic Kidney Disease","Oregon ",9.81,"Male","2007"
"All","Chronic Kidney Disease","Pennsylvania ",13.74,"Male","2007"
"All","Chronic Kidney Disease","Puerto Rico ",13.52,"Male","2007"
"All","Chronic Kidney Disease","Rhode Island ",12.69,"Male","2007"
"All","Chronic Kidney Disease","South Carolina ",13.04,"Male","2007"
"All","Chronic Kidney Disease","South Dakota ",9.85,"Male","2007"
"All","Chronic Kidney Disease","Tennessee ",12.37,"Male","2007"
"All","Chronic Kidney Disease","Texas ",13.18,"Male","2007"
"All","Chronic Kidney Disease","Utah ",10.08,"Male","2007"
"All","Chronic Kidney Disease","Vermont ",9.16,"Male","2007"
"All","Chronic Kidney Disease","Virgin Islands ",6.92,"Male","2007"
"All","Chronic Kidney Disease","Virginia ",13.08,"Male","2007"
"All","Chronic Kidney Disease","Washington ",10.83,"Male","2007"
"All","Chronic Kidney Disease","West Virginia ",11.86,"Male","2007"
"All","Chronic Kidney Disease","Wisconsin ",12.64,"Male","2007"
"All","Chronic Kidney Disease","Wyoming ",7.66,"Male","2007"
"All","Chronic Kidney Disease","Unknown ",5.48,"Male","2007"
"All","Depression ","National ",8.73,"Male","2007"
"All","Depression ","Alabama ",6.78,"Male","2007"
"All","Depression ","Alaska ",6.3,"Male","2007"
"All","Depression ","Arizona ",6.12,"Male","2007"
"All","Depression ","Arkansas ",8.12,"Male","2007"
"All","Depression ","California ",7.92,"Male","2007"
"All","Depression ","Colorado ",8.08,"Male","2007"
"All","Depression ","Connecticut ",9.7,"Male","2007"
"All","Depression ","Delaware ",7.43,"Male","2007"
"All","Depression ","District of Columbia ",6.44,"Male","2007"
"All","Depression ","Florida ",9.03,"Male","2007"
"All","Depression ","Georgia ",7.86,"Male","2007"
"All","Depression ","Hawaii ",5.57,"Male","2007"
"All","Depression ","Idaho ",8.08,"Male","2007"
"All","Depression ","Illinois ",8.71,"Male","2007"
"All","Depression ","Indiana ",8.51,"Male","2007"
"All","Depression ","Iowa ",8.93,"Male","2007"
"All","Depression ","Kansas ",8.89,"Male","2007"
"All","Depression ","Kentucky ",9.89,"Male","2007"
"All","Depression ","Louisiana ",8.44,"Male","2007"
"All","Depression ","Maine ",12.99,"Male","2007"
"All","Depression ","Maryland ",7.96,"Male","2007"
